标题,发表日期,作者,分类,链接,英文摘要,中文介绍
ConstraintBench: Benchmarking LLM Constraint Reasoning on Direct Optimization,2026-02-25,"Joseph Tso, Preston Schmittou, Quan Huynh, Jibran Hutchins",cs.AI,http://arxiv.org/abs/2602.22465v2,"Large language models are increasingly applied to operational decision-making where the underlying structure is constrained optimization. Existing benchmarks evaluate whether LLMs can formulate optimization problems as solver code, but leave open a complementary question. Can LLMs directly produce correct solutions to fully specified constrained optimization problems without access to a solver? We introduce ConstraintBench, a benchmark for evaluating LLMs on direct constrained optimization across 10 operations research domains, with all ground-truth solutions verified by the Gurobi solver. Each task presents a natural-language scenario with entities, constraints, and an optimization objective; the model must return a structured solution that a deterministic verifier checks against every constraint and the solver-proven optimum. We evaluate six frontier models on 200 tasks and find that feasibility, not optimality, is the primary bottleneck. The best model achieves only 65.0% feasibility, yet feasible solutions average 89 to 96% of the Gurobi-optimal objective. No model exceeds 30.5% on joint feasibility and optimality within 0.1% of the solver reference. Per-domain analysis shows large variation in difficulty, with average feasibility spanning from 85.0% in the facility location domain to 0.8% in the crew assignment domain. Further, systematic failure modes include duration constraint misunderstanding, entity hallucination, and a feasibility-optimality decoupling in facility location and vehicle routing where models achieve high feasibility but 0% optimality. ConstraintBench and all evaluation infrastructure will be publicly released.",该论文研究了大语言模型相关的最优模型技术。为模型路由领域提供了创新性的技术方案。
A Framework for Assessing AI Agent Decisions and Outcomes in AutoML Pipelines,2026-02-25,"Gaoyuan Du, Amit Ahlawat, Xiaoyang Liu, Jing Wu",cs.AI,http://arxiv.org/abs/2602.22442v1,"Agent-based AutoML systems rely on large language models to make complex, multi-stage decisions across data processing, model selection, and evaluation. However, existing evaluation practices remain outcome-centric, focusing primarily on final task performance. Through a review of prior work, we find that none of the surveyed agentic AutoML systems report structured, decision-level evaluation metrics intended for post-hoc assessment of intermediate decision quality. To address this limitation, we propose an Evaluation Agent (EA) that performs decision-centric assessment of AutoML agents without interfering with their execution. The EA is designed as an observer that evaluates intermediate decisions along four dimensions: decision validity, reasoning consistency, model quality risks beyond accuracy, and counterfactual decision impact. Across four proof-of-concept experiments, we demonstrate that the EA can (i) detect faulty decisions with an F1 score of 0.919, (ii) identify reasoning inconsistencies independent of final outcomes, and (iii) attribute downstream performance changes to agent decisions, revealing impacts ranging from -4.9\% to +8.3\% in final metrics. These results illustrate how decision-centric evaluation exposes failure modes that are invisible to outcome-only metrics. Our work reframes the evaluation of agentic AutoML systems from an outcome-based perspective to one that audits agent decisions, offering a foundation for reliable, interpretable, and governable autonomous ML systems.",该论文研究了模型选择相关的大语言模型技术。实验验证了该方法在性能指标上的显著改善。
Applying a Random-Key Optimizer on Mixed Integer Programs,2026-02-25,"Antonio A. Chaves, Mauricio G. C. Resende, Carise E. Schmidt, J. Kyle Brubaker, Helmut G. Katzgraber","math.OC, cs.NE",http://arxiv.org/abs/2602.22173v1,"Mixed-Integer Programs (MIPs) are NP-hard optimization models that arise in a broad range of decision-making applications, including finance, logistics, energy systems, and network design. Although modern commercial solvers have achieved remarkable progress and perform effectively on many small- and medium-sized instances, their performance often degrades when confronted with large-cale or highly constrained formulations. This paper explores the use of the Random-Key Optimizer (RKO) framework as a flexible, metaheuristic alternative for computing high-quality solutions to MIPs through the design of problem-specific decoders. The proposed approach separates the search process from feasibility enforcement by operating in a continuous random-key space while mapping candidate solutions to feasible integer solutions via efficient decoding procedures. We evaluate the methodology on two representative and structurally distinct benchmark problems: the mean-variance Markowitz portfolio optimization problem with buy-in and cardinality constraints, and the Time-Dependent Traveling Salesman Problem. For each formulation, tailored decoders are developed to reduce the effective search space, promote feasibility, and accelerate convergence. Computational experiments demonstrate that RKO consistently produces competitive, and in several cases superior, solutions compared to a state-of-the-art commercial MIP solver, both in terms of solution quality and computational time. These results highlight the potential of RKO as a scalable and versatile heuristic framework for tackling challenging large-scale MIPs.",该论文研究了性能相关的提出技术。实验验证了该方法在性能指标上的显著改善。
Don't stop me now: Rethinking Validation Criteria for Model Parameter Selection,2026-02-25,"Andrea Apicella, Francesco Isgrò, Andrea Pollastro, Roberto Prevete","cs.LG, cs.AI",http://arxiv.org/abs/2602.22107v1,"Despite the extensive literature on training loss functions, the evaluation of generalization on the validation set remains underexplored. In this work, we conduct a systematic empirical and statistical study of how the validation criterion used for model selection affects test performance in neural classifiers, with attention to early stopping. Using fully connected networks on standard benchmarks under $k$-fold evaluation, we compare: (i) early stopping with patience and (ii) post-hoc selection over all epochs (i.e. no early stopping). Models are trained with cross-entropy, C-Loss, or PolyLoss; the model parameter selection on the validation set is made using accuracy or one of the three loss functions, each considered independently. Three main findings emerge. (1) Early stopping based on validation accuracy performs worst, consistently selecting checkpoints with lower test accuracy than both loss-based early stopping and post-hoc selection. (2) Loss-based validation criteria yield comparable and more stable test accuracy. (3) Across datasets and folds, any single validation rule often underperforms the test-optimal checkpoint. Overall, the selected model typically achieves test-set performance statistically lower than the best performance across all epochs, regardless of the validation criterion. Our results suggest avoiding validation accuracy (in particular with early stopping) for parameter selection, favoring loss-based validation criteria.",该论文研究了模型选择相关的性能技术。实验验证了该方法在性能指标上的显著改善。
Confidence-Driven Multi-Scale Model Selection for Cost-Efficient Inference,2026-02-25,"Bo-Wei Chen, Chung-Chi Chen, An-Zi Yen",cs.CL,http://arxiv.org/abs/2602.22090v1,"Large Language Models (LLMs) have revolutionized inference across diverse natural language tasks, with larger models performing better but at higher computational costs. We propose a confidence-driven strategy that dynamically selects the most suitable model based on confidence estimates. By assessing a model's confidence in handling the task and response accuracy, tasks that are likely to be solved correctly are retained, while more uncertain or complex cases are delegated to a larger model, ensuring reliability while minimizing computation. Specifically, we evaluate a model's likelihood of knowing the correct answer and the probability that its response is accurate. Experiments on the Massive Multitask Language Understanding (MMLU) benchmark show that our approach achieves accuracy comparable to the largest model while reducing computational costs by 20\% to 40\%. When applied to GPT-4o API calls, it reduces token usage by approximately 60\%, further improving cost efficiency. These findings indicate the potential of confidence-based model selection to enhance real-world LLM deployment, particularly in resource-constrained settings such as edge devices and commercial API applications.",该工作提出了面向模型选择的大语言模型路由方法。实验验证了该方法在性能指标上的显著改善。
Robust Model Selection for Discovery of Latent Mechanistic Processes,2026-02-25,"Jiawei Li, Nguyen Nguyen, Meng Lai, Ioannis Ch. Paschalidis, Jonathan H. Huggins","stat.ME, math.ST",http://arxiv.org/abs/2602.22062v1,"When learning interpretable latent structures using model-based approaches, even small deviations from modeling assumptions can lead to inferential results that are not mechanistically meaningful. In this work, we consider latent structures that consist of $K_o$ mechanistic processes, where $K_o$ is unknown. When the model is misspecified, likelihood-based model selection methods can substantially overestimate $K_o$ while more robust nonparametric methods can be overly conservative. Hence, there is a need for approaches that combine the sensitivity of likelihood-based methods with the robustness of nonparametric ones. We formalize this objective in terms of a robust model selection consistency property, which is based on a component-level discrepancy measure that captures the mechanistic structure of the model. We then propose the accumulated cutoff discrepancy criterion (ACDC), which leverages plug-in estimates of component-level discrepancies. To apply ACDC, we develop mechanistically meaningful component-level discrepancies for a general class of latent variable models that includes unsupervised and supervised variants of probabilistic matrix factorization and mixture modeling. We show that ACDC is robustly consistent when applied to unsupervised matrix factorization and mixture models. Numerical results demonstrate that in practice our approach reliably identifies a mechanistically meaningful number of latent processes in numerous illustrative applications, outperforming existing methods.",该论文研究了模型选择相关的提出技术。为模型路由领域提供了创新性的技术方案。
Large Language Models are Algorithmically Blind,2026-02-25,"Sohan Venkatesh, Ashish Mahendran Kurapath, Tejas Melkote",cs.CL,http://arxiv.org/abs/2602.21947v2,"Large language models (LLMs) demonstrate remarkable breadth of knowledge, yet their ability to reason about computational processes remains poorly understood. Closing this gap matters for practitioners who rely on LLMs to guide algorithm selection and deployment. We address this limitation using causal discovery as a testbed and evaluate eight frontier LLMs against ground truth derived from large-scale algorithm executions and find systematic, near-total failure. Models produce ranges far wider than true confidence intervals yet still fail to contain the true algorithmic mean in the majority of instances; most perform worse than random guessing and the marginal above-random performance of the best model is most consistent with benchmark memorization rather than principled reasoning. We term this failure algorithmic blindness and argue it reflects a fundamental gap between declarative knowledge about algorithms and calibrated procedural prediction.",该论文研究了大语言模型相关的性能技术。实验验证了该方法在性能指标上的显著改善。
Comparative Evaluation of Machine Learning Models for Predicting Donor Kidney Discard,2026-02-25,"Peer Schliephacke, Hannah Schult, Leon Mizera, Judith Würfel, Gunter Grieser, Axel Rahmel, Carl-Ludwig Fischer-Fröhlich, Antje Jahn-Eimermacher",stat.AP,http://arxiv.org/abs/2602.21876v1,"A kidney transplant can improve the life expectancy and quality of life of patients with end-stage renal failure. Even more patients could be helped with a transplant if the rate of kidneys that are discarded and not transplanted could be reduced. Machine learning (ML) can support decision-making in this context by early identification of donor organs at high risk of discard, for instance to enable timely interventions to improve organ utilization such as rescue allocation. Although various ML models have been applied, their results are difficult to compare due to heterogenous datasets and differences in feature engineering and evaluation strategies. This study aims to provide a systematic and reproducible comparison of ML models for donor kidney discard prediction. We trained five commonly used ML models: Logistic Regression, Decision Tree, Random Forest, Gradient Boosting, and Deep Learning along with an ensemble model on data from 4,080 deceased donors (death determined by neurologic criteria) in Germany. A unified benchmarking framework was implemented, including standardized feature engineering and selection, and Bayesian hyperparameter optimization. Model performance was assessed for discrimination (MCC, AUC, F1), calibration (Brier score), and explainability (SHAP). The ensemble achieved the highest discrimination performance (MCC=0.76, AUC=0.87, F1=0.90), while individual models such as Logistic Regression, Random Forest, and Deep Learning performed comparably and better than Decision Trees. Platt scaling improved calibration for tree-and neural network-based models. SHAP consistently identified donor age and renal markers as dominant predictors across models, reflecting clinical plausibility. This study demonstrates that consistent data preprocessing, feature selection, and evaluation can be more decisive for predictive success than the choice of the ML algorithm.",该论文研究了机器学习相关的性能技术。实验验证了该方法在性能指标上的显著改善。
RAMSeS: Robust and Adaptive Model Selection for Time-Series Anomaly Detection Algorithms,2026-02-25,"Mohamed Abdelmaksoud, Sheng Ding, Andrey Morozov, Ziawasch Abedjan","cs.DB, cs.LG",http://arxiv.org/abs/2602.21766v1,"Time-series data vary widely across domains, making a universal anomaly detector impractical. Methods that perform well on one dataset often fail to transfer because what counts as an anomaly is context dependent. The key challenge is to design a method that performs well in specific contexts while remaining adaptable across domains with varying data complexities. We present the Robust and Adaptive Model Selection for Time-Series Anomaly Detection RAMSeS framework. RAMSeS comprises two branches: (i) a stacking ensemble optimized with a genetic algorithm to leverage complementary detectors. (ii) An adaptive model-selection branch identifies the best single detector using techniques including Thompson sampling, robustness testing with generative adversarial networks, and Monte Carlo simulations. This dual strategy exploits the collective strength of multiple models and adapts to dataset-specific characteristics. We evaluate RAMSeS and show that it outperforms prior methods on F1.",该论文研究了模型选择相关的集成技术。为模型路由领域提供了创新性的技术方案。
A Robust Analysis of QU-fitting Behavior for 800-1088 MHz and 1296-1440 MHz,2026-02-25,"Lindsey Oberhelman, Cameron L. Van Eck, N. M. McClure-Griffiths, Yik Ki Ma, Alec J. M. Thomson, Jason M. Price, Shinsuke Ideguchi, Craig S. Anderson, Marijke Haverkorn, Denis Leahy, Takuya Akahori, Jennifer West",astro-ph.GA,http://arxiv.org/abs/2602.21739v1,"QU-fitting is a powerful tool for interpreting spectro-polarimetric radio continuum observations by linking them to physical models, enabling estimates of the magnetic fields in, for example, the Milky Way, galaxy clusters, and radio jets. We present a comprehensive investigation into the effectiveness and limitations of QU-fitting within the ASKAP POSSUM survey frequency ranges (800-1088 MHz and 1296-1440 MHz) with projections to other spectro-polarimetric radio observations. We simulate different physical polarization sources: Faraday simple, Burn slab, internal turbulence, external turbulence, and two-component models in the POSSUM frequencies, and assess their observational degeneracies and fit accuracies. Our results highlight the model-dependent nature of reliable fitting and identify specific regions of parameter space where model selection, and therefore characterization of the physical medium, becomes ambiguous. For QU-fitting we find the Bayes factor, computed using the marginal likelihood, outperforms more traditionally used goodness-of-fit metrics such as Bayesian Information Criterion (BIC), Akaike Information Criterion (AIC), and chi-squared for model selection. We provide empirical relationships to delineate the boundaries where model distinguishability is impossible. Finally, we evaluate how accurately QU-fitting recovers model parameters and their associated uncertainties, thereby assessing its ability to correctly characterize the Faraday-rotating medium in both point and extended sources in Faraday depth space.",该论文研究了模型选择相关的提出技术。为模型路由领域提供了创新性的技术方案。
"Estimation, inference and model selection for jump regression models",2026-02-25,"Steffen Grønneberg, Gudmund Hermansen, Nils Lid Hjort",stat.ME,http://arxiv.org/abs/2602.21663v1,"We consider regression models with data of the type $y_i=m(x_i)+\varepsilon_i$, where the $m(x)$ curve is taken locally constant, with unknown levels and jump points. We investigate the large-sample properties of the minimum least squares estimators, finding in particular that jump point parameters and level parameters are estimated with respectively $n$-rate precision and $\sqrt{n}$-rate precision, where $n$ is sample size. Bayes solutions are investigated as well and found to be superior. We then construct jump information criteria, respectively AJIC and BJIC, for selecting the right number of jump points from data. This is done by following the line of arguments that lead to the Akaike and Bayesian information criteria AIC and BIC, but which here lead to different formulae due to the different type of large-sample approximations involved.",该论文研究了模型相关的路由技术。为模型路由领域提供了创新性的技术方案。
Sustainable LLM Inference using Context-Aware Model Switching,2026-02-25,"Yuvarani, Akashdeep Singh, Zahra Fathanah, Salsabila Harlen, Syeikha Syafura Al-Zahra binti Zahari, Hema Subramaniam",cs.LG,http://arxiv.org/abs/2602.22261v1,"Large language models have become central to many AI applications, but their growing energy consumption raises serious sustainability concerns. A key limitation in current AI deployments is the reliance on a one-size-fits-all inference strategy where most systems route every request to the same large model, regardless of task complexity, leading to substantial and unnecessary energy waste. To address this issue, we propose a context-aware model switching approach that dynamically selects an appropriate language model based on query complexity. The proposed system uses a Context-Aware Model Switching for Energy-Efficient LLM Inference that combines caching for repeated queries, rulebased complexity scoring for fast and explainable decisions, machine learning classification to capture semantic intent, and a user-adaptive component that learns from interaction patterns over time. The proposed architecture was evaluated using real conversation workloads and three open-source language models (Gemma3 1B, Gemma3 4B and Qwen3 4B) with different computational costs, measuring energy consumption (via NVML GPU power telemetry), response latency, routing accuracy, and output quality (BERTScore F1) to reflect real-world usage conditions. Experimental results show that the model switching approach can reduce energy consumption by up to 67.5% compared to always using the largest model while maintaining a response quality of 93.6%. In addition, the response time for simple queries also improved significantly by approximately 68%. These results show that model switching inference offers a practical and scalable path toward more energy-efficient and sustainable AI systems, demonstrating that significant efficiency gains can be achieved without major sacrifices in response quality.",该工作提出了面向大语言模型的机器学习路由方法。实验验证了该方法在性能指标上的显著改善。
"Benchmarking State Space Models, Transformers, and Recurrent Networks for US Grid Forecasting",2026-02-24,"Sunki Hong, Jisoo Lee, Yuanyuan Shi","cs.LG, eess.SY",http://arxiv.org/abs/2602.21415v1,"Selecting the right deep learning model for power grid forecasting is challenging, as performance heavily depends on the data available to the operator. This paper presents a comprehensive benchmark of five modern neural architectures: two state space models (PowerMamba, S-Mamba), two Transformers (iTransformer, PatchTST), and a traditional LSTM. We evaluate these models on hourly electricity demand across six diverse US power grids for forecast windows between 24 and 168 hours. To ensure a fair comparison, we adapt each model with specialized temporal processing and a modular layer that cleanly integrates weather covariates. Our results reveal that there is no single best model for all situations. When forecasting using only historical load, PatchTST and the state space models provide the highest accuracy. However, when explicit weather data is added to the inputs, the rankings reverse: iTransformer improves its accuracy three times more efficiently than PatchTST. By controlling for model size, we confirm that this advantage stems from the architecture's inherent ability to mix information across different variables. Extending our evaluation to solar generation, wind power, and wholesale prices further demonstrates that model rankings depend on the forecast task: PatchTST excels on highly rhythmic signals like solar, while state space models are better suited for the chaotic fluctuations of wind and price. Ultimately, this benchmark provides grid operators with actionable guidelines for selecting the optimal forecasting architecture based on their specific data environments.",该论文研究了性能相关的模型排序技术。实验验证了该方法在性能指标上的显著改善。
